Job Title,Company,Location,Footer,Easy Apply,Job Type,Description,Experience Required,Salary Mentioned,Apply Link,Job ID,Job URL,Company-Title Hash
AI Engineer,MSCI Inc.,Mumbai Metropolitan Region,Viewed | Promoted,No,Full-time,"About the job
Your Team Responsibilities

Development of Scalable and Efficient AI-Driven Solutions

Create AI solutions that address complex business challenges.
Ensure solutions are scalable to handle large data volumes and efficient in performance.

Development and Maintenance of Index Data Platforms

Build and sustain platforms that generate and manage Index data.
Integrate data from various sources, maintain data accuracy, and ensure reliability.

Development of Data Science-Based Solutions for Quality Check of Data Points

 Ensure the accuracy and reliability of delivered data through advanced data science techniques.
Implement metrics, detect anomalies, and validate data points to maintain high data quality.

Your Key Responsibilities2. Development of AI and Data Science-Based Solutions for Quality Check of Data Points delivered to downstream

 Development of Scalable and Efficient AI-Driven Solutions
Create AI/ML solutions that address complex business challenges.
Understand business use cases and identify where and how AI can add value.
Design, train, and validate machine learning models tailored to specific business needs.
Design solutions leveraging generative AI and LLM.
Build cost effective,scalable and high quality data solutions which will be used for critical Index products 
Ensure solutions can handle large volumes of data and scale with business growth.
Optimize models and algorithms for performance and resource utilization.
Ensure the accuracy and reliability of data through advanced data science techniques.
Define and implement metrics to assess data quality.
Develop models to detect anomalies and inconsistencies in data.
Create automated processes to validate data points against predefined standards.
Continuously refine quality check methods based on feedback and new insights.

Your Skills And Experience That Will Help You Excel

Artificial Intelligence (AI) and Machine Learning (ML)
Understanding of machine learning algorithms, deep learning, neural networks, and reinforcement learning.
Understanding and experience on Generative AI.
 Proficiency in working with large language models like GEMINI,GPT, BERT, and their variants. Experience in fine-tuning and deploying these models for various applications.
Familiarity with frameworks like TensorFlow, PyTorch, and Keras.
Programming Languages
Python: Proficiency in Python for data manipulation, model development, and automation. Experience with libraries such as NumPy, pandas, scikit-learn, and matplotlib.
Java (Good to have) : Strong skills in Java for building scalable and efficient applications. Knowledge of Java frameworks like Spring.
Oracle (Good to have): Expertise in Oracle databases, including SQL and PL/SQL. Experience in database design, optimization, and management.
Data Enginering and Cloud Solutions
Proficiency in cloud platforms like Azure or Google Cloud.
Leveraging cloud services for flexibility, scalability, and cost-efficiency
Experience with data warehousing solutions and other cloud based data storage solutions
Experience in Kubernetes and service or event driven architectures
About MSCI

What we offer you

Transparent compensation schemes and comprehensive employee benefits, tailored to your location, ensuring your financial security, health, and overall wellbeing.
Flexible working arrangements, advanced technology, and collaborative workspaces.
A culture of high performance and innovation where we experiment with new ideas and take responsibility for achieving results.
A global network of talented colleagues, who inspire, support, and share their expertise to innovate and deliver for our clients.
Global Orientation program to kickstart your journey, followed by access to our Learning@MSCI platform, LinkedIn Learning Pro and tailored learning opportunities for ongoing skills development.
Multi-directional career paths that offer professional growth and development through new challenges, internal mobility and expanded roles.
We actively nurture an environment that builds a sense of inclusion belonging and connection, including eight Employee Resource Groups. All Abilities, Asian Support Network, Black Leadership Network, Climate Action Network, Hola! MSCI, Pride & Allies, Women in Tech, and Women’s Leadership Forum.

At MSCI we are passionate about what we do, and we are inspired by our purpose – to power better investment decisions. You’ll be part of an industry-leading network of creative, curious, and entrepreneurial pioneers. This is a space where you can challenge yourself, set new standards and perform beyond expectations for yourself, our clients, and our industry.

MSCI is a leading provider of critical decision support tools and services for the global investment community. With over 50 years of expertise in research, data, and technology, we power better investment decisions by enabling clients to understand and analyze key drivers of risk and return and confidently build more effective portfolios. We create industry-leading research-enhanced solutions that clients use to gain insight into and improve transparency across the investment process.

MSCI Inc. is an equal opportunity employer. It is the policy of the firm to ensure equal employment opportunity without discrimination or harassment on the basis of race, color, religion, creed, age, sex, gender, gender identity, sexual orientation, national origin, citizenship, disability, marital and civil partnership/union status, pregnancy (including unlawful discrimination on the basis of a legally protected parental leave), veteran status, or any other characteristic protected by law. MSCI is also committed to working with and providing reasonable accommodations to individuals with disabilities. If you are an individual with a disability and would like to request a reasonable accommodation for any part of the application process, please email Disability.Assistance@msci.com and indicate the specifics of the assistance needed. Please note, this e-mail is intended only for individuals who are requesting a reasonable workplace accommodation; it is not intended for other inquiries.

To all recruitment agencies

MSCI does not accept unsolicited CVs/Resumes. Please do not forward CVs/Resumes to any MSCI employee, location, or website. MSCI is not responsible for any fees related to unsolicited CVs/Resumes.

Note on recruitment scams

We are aware of recruitment scams where fraudsters impersonating MSCI personnel may try and elicit personal information from job seekers. Read our full note on careers.msci.com",50 years,2. ,N/A,LINKEDIN,4237411661,https://www.linkedin.com/jobs/search/?currentJobId=4237411661&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=50,7e5015b340d8aaeaadcea26a2c1ba00f
AI/ML Engineer,Impetus,"Pune, Maharashtra, India",Viewed | Promoted | Easy Apply,Yes,Full-time,"About the job
Experience: 4 - 12 years

Location: Pune, Bangalore, Noida, Gurgaon, Indore, Hyderabad

Job Description:

Hands on experience of working with LLM (Large Language Models) or LangChain and OpenAI in particular.
Implementing and fine tuning the AI-generated text prompts using LLMs (eg:-GPT4)
Skilled in AI-specific utilities like ChatGPT, Hugging Face Transformers, etc.
Ability to understand business requirements.
Usecase derivation and solution creation from structured/unstructured data
Storytelling, Business Communication and Documentation
Programming Skills – Python, Scikit-Learn, TensorFlow, PyTorch, Keras
Exploratory Data Analysis
Machine Learning and Deep Learning Algorithms
Model building, Hyperparameter tuning, and Model performance metrics
MLOps, Data Pipeline, Data engineering
Statistics Knowledge (Probability Distributions, Hypothesis Testing)
Time series modeling, Forecasting, Image/Video Analytics, and Natural Language Processing (NLP).
ML services from Clouds such as AWS, GCP, Azure and Databricks
Optional - Databricks, Big Data -Basic knowledge of Spark, Hive

Roles & Responsibilities

Acquire skills required for building Machine learning models and deploy them for production.
Feature Engineering, EDA, Pipeline creation, Model training and hyperparameter tuning with structured and unstructed data sets.skills
Develop Cloud based applictions including LLM/GenAI and deploy them into production.",12 years,12 ,N/A,LINKEDIN,4301766878,https://www.linkedin.com/jobs/search/?currentJobId=4301766878&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=50,2b12f8529cc4d794879881020f9552b0
Generative AI Engineer,Teambees Corp,"Gurugram, Haryana, India",Viewed | Promoted | Easy Apply,Yes,Full-time,"About the job
We're Hiring: Generative AI Engineer
 🔍 What You’ll Do:
Fine-tune and deploy LLMs (Llama, GPT, Claude, Gemini)
Design scalable ML infrastructure & real-time inference systems
Optimize models for latency, safety, and business alignment
Collaborate with cross-functional teams to solve real-world problems
🧠 What We’re Looking For:
6+ yrs in ML/Data Science, 1.5+ yrs in GenAI
Strong in Python, PyTorch/TensorFlow, Transformers, LangChain
Hands-on with LoRA, QLoRA, RLHF, quantization, distillation
Experience with MLOps tools like MLflow, W&B, DVC",6 years,1.5,N/A,LINKEDIN,4300864241,https://www.linkedin.com/jobs/search/?currentJobId=4300864241&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=50,105b3808a934a0dd75166cb00f93f271
Machine Learning Intern,UM IT Solutions,India,Viewed | Promoted,No,Internship,"About the job
Machine Learning Intern (Paid)
Company: Unified Mentor
Location: Remote
Duration: 3 months
Opportunity: Full-time based on performance, with Certificate of Internship
Application Deadline: 19th September 2025
About Unified Mentor
Unified Mentor provides students and graduates with hands-on learning opportunities and career growth in Machine Learning and Data Science.
Role Overview
As a Machine Learning Intern, you will work on real-world projects, enhancing your practical skills in data analysis and model development.
Responsibilities
✅ Design, test, and optimize machine learning models
✅ Analyze and preprocess datasets
✅ Develop algorithms and predictive models
✅ Use tools like TensorFlow, PyTorch, and Scikit-learn
✅ Document findings and create reports
Requirements
🎓 Enrolled in or a graduate of a relevant program (Computer Science, AI, Data Science, or related field)
🧠 Knowledge of machine learning concepts and algorithms
💻 Proficiency in Python or R (preferred)
🤝 Strong analytical and teamwork skills
Benefits
💰 Stipend: ₹7,500 - ₹15,000 (Performance-Based) (Paid)
✔ Hands-on machine learning experience
✔ Internship Certificate & Letter of Recommendation
✔ Real-world project contributions for your portfolio
Equal Opportunity
Unified Mentor is an equal-opportunity employer, welcoming candidates from all backgrounds.",N/A,19,N/A,LINKEDIN,4301903548,https://www.linkedin.com/jobs/search/?currentJobId=4301903548&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=75,addb7ae0a9a3e840773ba2b54d76e29d
Data Scientist,IndusInd Bank,"Chennai, Tamil Nadu, India",Viewed | Promoted | Easy Apply,Yes,Full-time,"About the job
About the Organization: IndusInd Bank is a universal Bank with a widespread banking footprint with over 2.5 crore customers, over 5,000 distribution points and nearly 2,000 branches across the country. Bank is currently in its fifth planning cycle and is on a mission to attain scale with sustainability at its core and with a specific focus on leapfrogging digital banking capabilities.
Accordingly, the digital team at IndusInd Bank is on a journey to create differentiated transformative customer experience in financial services. The team’s charter to redefine banking experience for clients making is much simpler, intelligent, and personalized. The data science team(digital portfolio, platform growth & engagement) will be part of the digital team at IndusInd Bank and will help uncover insights that help drive the digital strategy and optimize customer experience.

About the role: You would be part of asset analytics and data science team and work on cutting edge problems for the bank. The individual will work closely with the stakeholders across risk, business, partnerships, digital and strategy in creating and refining strategies to augment profitability and growth for the bank. The incumbent will majorly be responsible with coming up data driven and actionable insights and presenting them to relevant stakeholders The candidate will work in close collaboration with digital product, growth, and marketing teams.

Overall, Job Description 
Experience querying databases and using statistical computer languages: R, Python, SLQ, etc.
Use predictive modelling to increase and optimize customer experiences, revenue generation, ad targeting and other business outcomes.
Experienced in working with large and multiple datasets, data warehouses and ability to pull data using relevant programs and coding.
Well versed with necessary data reprocessing and feature engineering skills.
Strong background in Statistical Analysis. Constantly look and research on ML algorithms and data sources for better prediction
Work and coordinate with multiple stakeholders to identify opportunities for leveraging company data to drive business solutions, implement models and monitor outcomes.
Assess the effectiveness and accuracy of new data sources and data gathering techniques and develop processes and tools to monitor and analyze model performance and data accuracy.
Experience in establishing/scaling up data science functions
Proven ability to discover solutions hidden in large datasets and to drive business results with their data-based insights
Leverage analytics to increase customer lifetime value for clients acquired digitally by pitching right product to the right client at the right time
Help define pricing models for digital value propositions for various segments of users / clients to ensure profitability of the portfolio and to ensure achievement of business outcomes
Work with product, growth, and marketing teams across product/campaign lifecycle
Empower product and marketing teams by creating automated dashboards and reports using PowerBI

Skills/Capabilities
Model development experience in R, Python, SAS
Strong and in-depth understanding of statistics
Strong strategic thought leadership and problem-solving skills with ability to tackle unstructured and complex business problems
Ability to build & use relationships and influence broadly across the organization
Results driven with strong project management skills, ability to work on multiple priorities
Handling Big Data, Segmentation, Analytics, Machine Learning, Artificial Intelligence, Statistics and Hypothesis Testing",N/A,2.5 ,N/A,LINKEDIN,4285096578,https://www.linkedin.com/jobs/search/?currentJobId=4285096578&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=75,df096a1282cd4886acdf4d23d9af5df1
Data Scientist,Akaike Technologies,Greater Bengaluru Area,Viewed | Promoted,No,Full-time,"About the job
Role: DS
Location: Bengaluru (Hybrid)
Experience: 2-4 years
Akaike Technologies, Greater Bengaluru Area

Company Overview: 
Akaike Technologies is a dynamic and innovative AI-driven company dedicated to building impactful solutions across various domains. Our mission is to empower businesses by harnessing the power of data and AI to drive growth, efficiency, and value. We foster a culture of collaboration, creativity, and continuous learning, where every team member is encouraged to take initiative and contribute to groundbreaking projects. We value diversity, integrity, and a strong commitment to excellence in all our endeavors. 

Job Description: 
We are seeking an innovative and driven Data Scientist to join our dynamic team. This role is at the heart of our mission to build intelligent systems that solve real-world business problems. You will be instrumental in designing and deploying cutting-edge solutions that leverage Generative AI, agentic systems, deep learning, and classical machine learning. The ideal candidate is a hands-on builder with a strong foundation in data analysis and software engineering, who thrives in a fast-paced environment and is passionate about pushing the boundaries of what's possible with AI. Experience in the pharmaceutical or life sciences domain is highly valued.

Key Responsibilities

Design & Build GenAI Systems: Lead the design, development, and deployment of robust Generative AI solutions, including agentic systems and Retrieval-Augmented Generation (RAG) pipelines to tackle complex business challenges.

Develop Intelligent Agents: Create sophisticated agents capable of reasoning and executing tasks over large-scale structured data (e.g., databases, APIs) and unstructured data.

Ensure System Reliability: Establish and implement rigorous frameworks for evaluating, testing, and ensuring the reliability, safety, and accuracy of LLM-based systems.

End-to-End Model Ownership: Apply a wide range of machine learning and deep learning techniques (e.g., forecasting, CLV, recommendation systems, NLP) and own the entire model lifecycle—from rapid prototyping to deploying scalable, low-latency solutions using Docker and AWS services.

Large-Scale Data Mastery: Process and analyze massive datasets (billions of records) using distributed computing frameworks like PySpark to extract actionable insights and engineer impactful features.

Experimentation & Communication: Design and conduct experiments to validate hypotheses, perform insightful EDA, and effectively communicate solution outlines and results to stakeholders and team members.

Mentorship & Collaboration: Mentor junior team members and act as a bridge between business problems and data science, working closely with cross-functional engineering and product teams.

Core Qualifications & Skills

Experience: 2-4 years of hands-on experience in a data science role, building and deploying machine learning models in a production environment.

Generative AI Proficiency: Demonstrated experience building solutions using Large Language Models (LLMs), with specific expertise in RAG architectures and agentic frameworks (e.g., LangChain, Langgraph, or similar).

ML & Deep Learning: Strong foundation in classical machine learning algorithms and deep learning architectures (ANN, CNNs, LSTMs, Transformers).

Programming & Data Analysis: High proficiency in Python and its data science ecosystem (Pandas, NumPy, Scikit-learn). Excellent SQL skills are a must.

Big Data Technologies: Proven experience with distributed data processing frameworks, particularly PySpark.

Problem-Solving: Exceptional analytical, logical reasoning, and problem-solving skills with a data-driven approach.

Engineering & Deployment: Solid understanding of system design concepts and MLOps principles, including containerization (Docker) and cloud services (AWS stack: S3, Lambda, ECR, Step Functions, etc.).

Data Analysis & Machine Learning:
Utilize Python libraries like NumPy, Pandas, and Dask, Pyspark for data processing and analysis.
Apply ML/DL libraries like Scikit-learn, TensorFlow/Keras, PyTorch for developing and deploying models.

Traditional NLP Expertise: Work on advanced NLP techniques including Transformers (BERT, T5, GPT), Word2Vec, NER, topic modeling, and contrastive learning.
Good understanding of Python Ecosystem and implementing research papers

Collaboration & Communication: Work closely with cross-functional teams and clients to deliver impactful solutions.
Fast paced development and Rapid prototyping environment.

Preferred Qualifications:
Domain expertise in Pharma or Life Sciences, with an understanding of claims data, commercial analytics.
Hands-on experience with fine-tuning open-source LLMs (e.g., Llama, Mistral) for specific tasks.
Deep understanding of the latest developments in agentic systems, including MCP and multi-agent frameworks (e.g., AutoGen, CrewAI).
Experience with advanced ML techniques such as Positive-Unlabeled (PU) learning, representation learning, and advanced model explainability.
Prior experience in building domain-specific models like Marketing Mix Models (MMM), demand forecasting, or multi-dimensional time series analysis.
Contributions to open-source AI/ML projects or publications in relevant fields.

Benefits and Perks 
● Competitive ESOP grants
● Working with fortune 500 companies and world class teams
● Publishing papers and attending conferences
● Opportunity to go to networking events, conferences, and seminars
● Visibility on all the functions at Akaike including sales, pre-sales, lead generation, marketing, and hiring",4 years,"3, ",N/A,LINKEDIN,4301239733,https://www.linkedin.com/jobs/search/?currentJobId=4301239733&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=75,e8a873d372764018f18e16c27ecdd542
Python Data Scientist / ML Engineer,Remotohire,India,Viewed | Promoted,No,Full-time,"About the job
Company: RemotoHire
 Work Mode: Remote / Hybrid
 Experience: 3–7 years

About the Role:
 We are hiring Python Data Scientists & ML Engineers to design and deploy intelligent systems, from predictive analytics to generative AI. You’ll work with global clients on real-world AI/ML problems.

Key Responsibilities:
Build ML models using scikit-learn, TensorFlow, PyTorch.
Work on NLP, Computer Vision, Generative AI, LLMs (GPT, LangChain).
Deploy ML pipelines on AWS SageMaker, Azure ML, GCP Vertex AI.
Handle data preprocessing, feature engineering, big data (Spark, Hadoop).
Optimize models for performance and scalability.

Required Skills:
Strong in Python, Pandas, NumPy, Matplotlib, Jupyter.
ML frameworks: scikit-learn, TensorFlow, PyTorch.
Cloud ML services: AWS, Azure, GCP.
Knowledge of MLOps, CI/CD for ML pipelines.
Bonus: Experience with AI Agents, RAG pipelines, and vector databases.

👉 Apply Now: https://www.oxcytech.com/developer-application
📌 Note: While applying, please select “Python Data Science / Machine Learning / AI” from the Main dropdown.",7 years,N/A,N/A,LINKEDIN,4299994314,https://www.linkedin.com/jobs/search/?currentJobId=4299994314&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=100,11cf7cba1d148fa9fa5ca91fe7a1fedd
Machine Learning Engineer,BayOne Solutions,India,Viewed | Promoted | Easy Apply,Yes,Full-time,"About the job
Position: Machine Learning Engineer
Location: Remote (India).
Type: Full-time (with BayOne).
Work Time: IST (02.00 PM to 10.00 PM IST).


Key Skills & Experience:
Proficiency with ML frameworks (TensorFlow, PyTorch)
NLP and Large Language Models (LLMs) experience
Strong understanding of generative models and applications
Programming skills in Python, Go, or Java
API development and model integration expertise
Familiarity with Docker, Kubernetes Knowledge of CI/CD pipelines, databases(MongoDB), data lakes, or real-time data processing tools

BayOne is an Equal Opportunity Employer and does not discriminate against any employee or applicant for employment because of race, color, sex, age, religion, sexual orientation, gender identity, status as a veteran, and basis of disability or any federal, state, or local protected class. This job posting represents the general duties and requirements necessary to perform this position and is not an exhaustive statement of all responsibilities, duties, and skills required. Management reserves the right to revise or alter this job description.",N/A,02.00 ,N/A,LINKEDIN,4301640532,https://www.linkedin.com/jobs/search/?currentJobId=4301640532&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=100,40b65d10d157e79375e4f1211a6f7ede
AI ML Engineer,Giggso,"Chennai, Tamil Nadu, India",Viewed | Promoted | Easy Apply,Yes,Full-time,"About the job
Company Description
 Founded in 2018, Giggso is a responsible AI platform for enterprise operations with security and automations. Giggso provides a single integrated platform for AI Agent orchestration, AI governance, monitoring and observability, incident management, automation, and remediation. 

The platform is web 3.0 and blockchain-enabled, offering Model Risk Management solutions. Giggso aims to enhance decision-making and drive efficiency in AI ML systems for better customer experiences and cost management.

 Role Description
 This is a full-time hybrid role for a Machine Learning Engineer at Giggso, located in Chennai with flexibility for remote work. The Machine Learning Engineer will be responsible for pattern recognition, developing neural networks, implementing statistical analysis, and optimizing algorithms for AI ML systems. The role involves working on complex AI ML systems and contributing to operational efficiency and risk management.

 Qualifications
  Pattern Recognition, Neural Networks, and Algorithms skills
LLM programming with strong NLP background
Strong background in python and math reasoning
Proficiency in Statistics
Ability to develop and optimize algorithms for AI ML systems
Experience with pattern recognition and neural network modeling
Knowledge of statistical analysis techniques
Demonstrated expertise in algorithm design and implementation
Strong problem-solving and analytical skills
Understanding of model deployment and monitoring processes
Master's is needed while PhD in Computer Science, Statistics, or related field is a plus",N/A,"2018, ",N/A,LINKEDIN,4300437435,https://www.linkedin.com/jobs/search/?currentJobId=4300437435&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=100,473aa902c7f6e1dd132bca63d9bd6199
Generative AI Engineer,Zensar Technologies,"Pune, Maharashtra, India",Viewed | Promoted | Easy Apply,Yes,Full-time,"About the job
• Proven experience in building and deploying AI/ML and Generative AI applications
 • Hands of experience with RAG and Agentic AI based applications
 • Solid understanding of deep learning and Natural Language Processing (NLP)
 • Strong experience with Large Language Models (LLMs) and frameworks (e.g., Langchain, LlamaIndex)
 • Expertise in machine learning frameworks such as TensorFlow, PyTorch, Scikit-learn, or similar
 • Expertise in building enterprise-grade, secure data ingestion for structured/unstructured data, including indexing, search, and advanced retrieval
 • Strong proficiency in Python programming language
 • Hands-on experience with cloud platforms such as Azure and Databricks (preferred)
 • Strong experience in building CI/CD pipeline templates for AI software development lifecycle (SDLC), including ML Ops, RAG pipelines, and data ingestion pipelines",N/A,N/A,N/A,LINKEDIN,4301131349,https://www.linkedin.com/jobs/search/?currentJobId=4301131349&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=100,f085cde2cbbac1412f46f1341eba8084
Generative AI Engineer,KnowledgeWorks Global Ltd.,"Mumbai, Maharashtra, India",Viewed | Promoted | Easy Apply,Yes,Full-time,"About the job
Software Developer
Key Responsibilities
Design, develop, and deploy AI/ML solutions with a focus on Generative AI and LLMs.
Fine-tune, prompt-engineer, and optimize LLMs for domain-specific tasks.
Leverage frameworks such as LangChain, LlamaIndex, or similar for building modular AI applications.
Integrate LLMs with APIs, databases, vector stores, and enterprise applications.
Evaluate and implement model deployment strategies (on-prem, cloud, serverless, or containerized environments).
Collaborate with cross-functional teams (data engineers, product managers, software engineers) to deliver end-to-end AI solutions.
Stay updated with the latest advancements in AI, ML, and GenAI research and propose adoption of new technologies.
Implement MLOps best practices for continuous training, deployment, and monitoring of models in production.
Ensure responsible AI practices, focusing on bias mitigation, data privacy, and compliance.
Required Qualifications
5+ years of experience in software development (Python preferred; familiarity with Java, C#, or Node.js a plus).
2+ years of hands-on experience in Generative AI and LLM-based development.
Strong knowledge of AI/ML fundamentals including NLP, deep learning, embeddings, and transformers.
Experience with LLMs (e.g., OpenAI GPT, Anthropic Claude, LLaMA, Falcon, Mistral, or similar).
Proven track record of delivering at least 2 production-grade LLM-based projects.
Experience with LangChain, LlamaIndex, Haystack, or similar frameworks.
Familiarity with vector databases (Pinecone, Weaviate, Milvus, FAISS, Chroma).
Hands-on experience with cloud platforms (AWS, Azure, GCP) and AI services (Bedrock, VertexAI, Azure OpenAI).
Proficiency in containerization and deployment tools (Docker, Kubernetes, CI/CD pipelines).
Experience with MLOps tools (MLflow, Kubeflow, Weights & Biases) for model lifecycle management.
Strong problem-solving, analytical, and communication skills.",5 years,N/A,N/A,LINKEDIN,4297089152,https://www.linkedin.com/jobs/search/?currentJobId=4297089152&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=100,311f17aab72e2274e4e682ed8aa13c3e
Data Scientist,True Tech Professionals,"Gurugram, Haryana, India",Viewed | Promoted | Easy Apply,Yes,Full-time,"About the job
LLM Data Scientist 
(3-6 Years Experience)
Location: Gurgaon
GenAI Experience: Minimum 2 years required
Key Responsibilities:
Develop and fine-tune LLMs for classification, NLP, and generative AI use cases
Build RAG pipelines with vector databases and implement prompt engineering strategies
Conduct data preprocessing for LLM training including tokenization and embedding generation
Design custom chatbots, text generation, and document analysis solutions
Implement LLM evaluation metrics (BLEU, ROUGE, perplexity) and human feedback loops
Deploy conversational AI and content generation models in production
Technical Requirements:
2 years hands-on LLM development (GPT, BERT, T5, Llama, Claude)
Proficient in Transformers, Hugging Face, LangChain, OpenAI API
Experience with vector databases (Pinecone, Weaviate, ChromaDB) and semantic search
Strong Python, SQL, and deep learning (PyTorch, TensorFlow)
Knowledge of fine-tuning techniques (LoRA, QLoRA, PEFT) and model quantization
Understanding of prompt engineering, chain-of-thought, and few-shot learning
Familiarity with MLOps for LLMs (model versioning, A/B testing, monitoring) -- GOOD TO HAVE",6 years,"5, ",N/A,LINKEDIN,4301115473,https://www.linkedin.com/jobs/search/?currentJobId=4301115473&f_TPR=r604800&keywords=Machine%20Learning%20OR%20ML%20Engineer%20OR%20Data%20Scientist%20OR%20AI%20Engineer&location=India&start=100,7f053798af9dad6e3bc13d37c820d5da
